"id";"raceid";"moviename"
"9";"4";"14-8-2010_-_135454.mov"
"10";"5";"14-8-2010_-_140053.mov"
"11";"7";"14-8-2010_-_141253.mov"
"12";"8";"14-8-2010_-_142532.mov"
"13";"9";"14-8-2010_-_143121.mov"
"14";"10";"14-8-2010_-_143950.mov"
"15";"11";"14-8-2010_-_144419.mov"
"18";"13";"14-8-2010_-_154503.mov"
"19";"14";"14-8-2010_-_155152.mov"
"20";"15";"14-8-2010_-_155721.mov"
"21";"16";"14-8-2010_-_160516.mov"
"22";"17";"14-8-2010_-_161215.mov"
"23";"18";"14-8-2010_-_161829.mov"
"24";"19";"14-8-2010_-_162348.mov"
"25";"20";"14-8-2010_-_162932.mov"
"26";"21";"14-8-2010_-_163705.mov"
"27";"22";"14-8-2010_-_164409.mov"
"28";"23";"14-8-2010_-_164923.mov"
"29";"24";"14-8-2010_-_165432.mov"
"30";"25";"14-8-2010_-_165902.mov"
"31";"26";"14-8-2010_-_170406.mov"
"32";"27";"14-8-2010_-_171710.mov"
"33";"28";"14-8-2010_-_172139.mov"
"34";"29";"14-8-2010_-_172648.mov"
"35";"30";"14-8-2010_-_180842.mov"
"36";"31";"14-8-2010_-_181741.mov"
"37";"32";"14-8-2010_-_182356.mov"
"38";"33";"14-8-2010_-_182800.mov"
"39";"34";"14-8-2010_-_183304.mov"
"40";"35";"14-8-2010_-_183808.mov"
"41";"36";"14-8-2010_-_184333.mov"
"42";"37";"14-8-2010_-_185020.mov"
"43";"38";"14-8-2010_-_185544.mov"